Time,GeoType,GeoID,GeoRank,Geography,Degrees Fahrenheit degrees Fahrenheit
2018,NTA2010,501,8,Claremont-Bathgate,100
2018,NTA2010,503,8,Eastchester-Edenwald-Baychester,100
2018,NTA2010,505,8,Bedford Park-Fordham North,97
2018,NTA2010,506,8,Belmont,99
2018,NTA2010,507,8,Bronxdale,98
2018,NTA2010,508,8,West Farms-Bronx River,98
2018,NTA2010,509,8,Soundview-Castle Hill-Clason Point-Harding Park,99
2018,NTA2010,510,8,Pelham Bay-Country Club-City Island,97
2018,NTA2010,513,8,Co-op City,97
2018,NTA2010,514,8,East Concourse-Concourse Village,99
2018,NTA2010,517,8,East Tremont,100
2018,NTA2010,522,8,North Riverdale-Fieldston-Riverdale,94
2018,NTA2010,526,8,Highbridge,98
2018,NTA2010,527,8,Hunts Point,100
2018,NTA2010,528,8,Van Cortlandt Village,96
2018,NTA2010,529,8,Spuyten Duyvil-Kingsbridge,96
2018,NTA2010,530,8,Kingsbridge Heights,97
2018,NTA2010,531,8,Allerton-Pelham Gardens,100
2018,NTA2010,533,8,Longwood,101
2018,NTA2010,534,8,Melrose South-Mott Haven North,101
2018,NTA2010,535,8,Morrisania-Melrose,100
2018,NTA2010,536,8,University Heights-Morris Heights,98
2018,NTA2010,537,8,Van Nest-Morris Park-Westchester Square,101
2018,NTA2010,539,8,Mott Haven-Port Morris,100
2018,NTA2010,540,8,Fordham South,98
2018,NTA2010,541,8,Mount Hope,98
2018,NTA2010,543,8,Norwood,96
2018,NTA2010,544,8,Williamsbridge-Olinville,99
2018,NTA2010,546,8,Parkchester,99
2018,NTA2010,549,8,Pelham Parkway,99
2018,NTA2010,552,8,Schuylerville-Throgs Neck-Edgewater Park,98
2018,NTA2010,555,8,Soundview-Bruckner,98
2018,NTA2010,559,8,Westchester-Unionport,100
2018,NTA2010,562,8,Woodlawn-Wakefield,99
2018,NTA2010,563,8,West Concourse,98
2018,NTA2010,575,8,Crotona Park East,100
2018,NTA2010,4709,8,Brooklyn Heights-Cobble Hill,96
2018,NTA2010,4717,8,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,96
2018,NTA2010,4719,8,Brighton Beach,95
2018,NTA2010,4721,8,Seagate-Coney Island,95
2018,NTA2010,4723,8,West Brighton,96
2018,NTA2010,4725,8,Homecrest,100
2018,NTA2010,4726,8,Gravesend,97
2018,NTA2010,4727,8,Bath Beach,94
2018,NTA2010,4728,8,Bensonhurst West,97
2018,NTA2010,4729,8,Bensonhurst East,97
2018,NTA2010,4730,8,Dyker Heights,96
2018,NTA2010,4731,8,Bay Ridge,94
2018,NTA2010,4732,8,Sunset Park West,98
2018,NTA2010,4733,8,Carroll Gardens-Columbia Street-Red Hook,97
2018,NTA2010,4734,8,Sunset Park East,97
2018,NTA2010,4735,8,Stuyvesant Heights,98
2018,NTA2010,4737,8,Park Slope-Gowanus,96
2018,NTA2010,4738,8,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,98
2018,NTA2010,4740,8,Windsor Terrace,96
2018,NTA2010,4741,8,Kensington-Ocean Parkway,98
2018,NTA2010,4742,8,Flatbush,97
2018,NTA2010,4743,8,Midwood,100
2018,NTA2010,4744,8,Madison,100
2018,NTA2010,4745,8,Georgetown-Marine Park-Bergen Beach-Mill Basin,99
2018,NTA2010,4746,8,Ocean Parkway South,100
2018,NTA2010,4750,8,Canarsie,99
2018,NTA2010,4758,8,Flatlands,101
2018,NTA2010,4760,8,Prospect Lefferts Gardens-Wingate,98
2018,NTA2010,4761,8,Crown Heights North,98
2018,NTA2010,4763,8,Crown Heights South,97
2018,NTA2010,4764,8,Prospect Heights,97
2018,NTA2010,4768,8,Fort Greene,98
2018,NTA2010,4769,8,Clinton Hill,98
2018,NTA2010,4772,8,Williamsburg,101
2018,NTA2010,4773,8,North Side-South Side,99
2018,NTA2010,4775,8,Bedford,99
2018,NTA2010,4776,8,Greenpoint,99
2018,NTA2010,4777,8,Bushwick North,99
2018,NTA2010,4778,8,Bushwick South,101
