Time,GeoType,GeoID,GeoRank,Geography,Percent
2017,NTA2010,501,8,Claremont-Bathgate,21.7
2017,NTA2010,503,8,Eastchester-Edenwald-Baychester,38.1
2017,NTA2010,505,8,Bedford Park-Fordham North,17.3
2017,NTA2010,506,8,Belmont,24.4
2017,NTA2010,507,8,Bronxdale,26.9
2017,NTA2010,508,8,West Farms-Bronx River,21.8
2017,NTA2010,509,8,Soundview-Castle Hill-Clason Point-Harding Park,33.7
2017,NTA2010,510,8,Pelham Bay-Country Club-City Island,36.9
2017,NTA2010,513,8,Co-op City,33.9
2017,NTA2010,514,8,East Concourse-Concourse Village,15.0
2017,NTA2010,517,8,East Tremont,20.2
2017,NTA2010,522,8,North Riverdale-Fieldston-Riverdale,63.4
2017,NTA2010,526,8,Highbridge,24.0
2017,NTA2010,527,8,Hunts Point,11.2
2017,NTA2010,528,8,Van Cortlandt Village,26.8
2017,NTA2010,529,8,Spuyten Duyvil-Kingsbridge,39.2
2017,NTA2010,530,8,Kingsbridge Heights,25.7
2017,NTA2010,531,8,Allerton-Pelham Gardens,31.6
2017,NTA2010,533,8,Longwood,18.4
2017,NTA2010,534,8,Melrose South-Mott Haven North,23.2
2017,NTA2010,535,8,Morrisania-Melrose,24.3
2017,NTA2010,536,8,University Heights-Morris Heights,26.4
2017,NTA2010,537,8,Van Nest-Morris Park-Westchester Square,23.9
2017,NTA2010,539,8,Mott Haven-Port Morris,20.2
2017,NTA2010,540,8,Fordham South,11.4
2017,NTA2010,541,8,Mount Hope,14.1
2017,NTA2010,543,8,Norwood,29.5
2017,NTA2010,544,8,Williamsbridge-Olinville,24.0
2017,NTA2010,546,8,Parkchester,34.5
2017,NTA2010,549,8,Pelham Parkway,35.2
2017,NTA2010,552,8,Schuylerville-Throgs Neck-Edgewater Park,45.0
2017,NTA2010,555,8,Soundview-Bruckner,24.5
2017,NTA2010,559,8,Westchester-Unionport,18.3
2017,NTA2010,562,8,Woodlawn-Wakefield,29.5
2017,NTA2010,563,8,West Concourse,19.2
2017,NTA2010,575,8,Crotona Park East,23.0
2017,NTA2010,4709,8,Brooklyn Heights-Cobble Hill,27.0
2017,NTA2010,4717,8,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25.2
2017,NTA2010,4719,8,Brighton Beach,16.8
2017,NTA2010,4721,8,Seagate-Coney Island,18.3
2017,NTA2010,4723,8,West Brighton,24.9
2017,NTA2010,4725,8,Homecrest,20.6
2017,NTA2010,4726,8,Gravesend,29.6
2017,NTA2010,4727,8,Bath Beach,22.1
2017,NTA2010,4728,8,Bensonhurst West,14.3
2017,NTA2010,4729,8,Bensonhurst East,14.6
2017,NTA2010,4730,8,Dyker Heights,20.2
2017,NTA2010,4731,8,Bay Ridge,31.2
2017,NTA2010,4732,8,Sunset Park West,10.7
2017,NTA2010,4733,8,Carroll Gardens-Columbia Street-Red Hook,19.7
2017,NTA2010,4734,8,Sunset Park East,17.9
2017,NTA2010,4735,8,Stuyvesant Heights,26.6
